Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2012-06-12,8.3,20.1,0.0,4.0,7.6,N,44.0,NNE,NNW,26.0,28.0,55.0,27.0,1018.0,1015.1,7.0,0.0,11.2,19.5,No,No
2013-11-19,14.6,23.2,8.4,0.0,8.5,S,52.0,SW,SSW,19.0,24.0,85.0,77.0,1010.6,1010.4,7.0,5.0,19.1,21.4,Yes,No
2015-01-03,23.8,37.5,0.0,,,NNE,78.0,NNE,N,46.0,50.0,35.0,21.0,1012.0,1006.2,,,27.6,35.5,No,Yes
2010-09-05,7.3,16.7,1.6,3.2,,W,46.0,W,WNW,19.0,20.0,78.0,47.0,1017.4,1016.6,1.0,3.0,11.2,16.5,Yes,No
2010-11-08,14.0,23.8,0.0,4.4,8.5,SSW,31.0,W,SSW,9.0,17.0,55.0,40.0,1013.1,1014.2,7.0,5.0,16.8,21.7,No,No
2011-10-18,4.0,24.4,0.0,4.4,12.3,N,67.0,N,N,15.0,33.0,60.0,28.0,1031.2,1028.2,0.0,0.0,15.5,23.8,No,No
2011-11-23,17.6,35.6,0.0,,13.2,NNE,54.0,NE,NNE,31.0,24.0,19.0,12.0,1015.7,1013.0,0.0,0.0,29.5,34.8,No,No
2014-11-09,22.0,32.1,0.0,9.4,11.5,E,44.0,SE,E,22.0,31.0,60.0,41.0,1016.7,1013.1,3.0,1.0,27.6,30.6,No,No
2016-07-10,10.0,17.8,,,,NNE,19.0,,NE,0.0,13.0,98.0,70.0,,,,,13.3,17.2,No,No
2010-12-30,11.3,21.4,0.0,8.8,11.0,ESE,37.0,E,ESE,11.0,24.0,64.0,61.0,1018.0,1016.5,5.0,4.0,18.3,19.6,No,No
2013-03-16,16.9,25.3,0.0,,,SE,52.0,ESE,ESE,19.0,20.0,71.0,57.0,1022.1,1019.4,,,19.4,24.5,No,No
2016-06-10,13.9,21.5,0.0,,,NW,22.0,WNW,NW,7.0,9.0,67.0,54.0,1017.6,1017.1,,,16.7,20.2,No,No
2016-10-07,15.2,30.0,0.0,,,WNW,26.0,WNW,NE,9.0,15.0,50.0,48.0,1021.2,1015.9,,,22.0,25.6,No,No
2009-03-04,11.4,18.6,2.6,10.0,4.4,W,63.0,NW,W,15.0,44.0,49.0,45.0,1012.5,1012.3,1.0,7.0,14.4,16.7,Yes,No
2012-06-23,9.2,15.8,0.0,,,WSW,44.0,WSW,WNW,17.0,15.0,55.0,40.0,1021.6,1021.0,,,11.7,15.5,No,No
2014-12-12,8.2,19.4,0.2,3.6,11.7,SE,35.0,NNE,SE,6.0,24.0,58.0,52.0,1023.9,1022.6,3.0,1.0,15.9,17.9,No,No
2015-09-08,13.1,18.5,0.0,5.0,4.6,NE,31.0,E,ENE,17.0,15.0,57.0,51.0,1025.2,1022.8,7.0,4.0,16.0,17.9,No,Yes
2014-02-22,9.8,21.7,0.0,,,S,48.0,S,SSE,22.0,30.0,85.0,43.0,1023.1,1022.6,8.0,,11.6,20.1,No,No
2014-07-02,2.4,11.7,0.0,,,W,31.0,NNW,NW,9.0,17.0,98.0,75.0,1030.8,1028.3,8.0,8.0,7.2,10.7,No,No
2016-07-19,15.0,24.6,0.0,,,N,20.0,NNW,N,11.0,15.0,78.0,66.0,1021.7,1019.3,,,18.6,22.2,No,Yes
2014-05-18,,29.1,,,,ESE,24.0,ESE,SSE,9.0,4.0,48.0,27.0,1019.8,1016.9,,,20.5,28.3,No,No
2014-02-21,19.7,34.9,0.0,13.8,12.2,E,39.0,ENE,E,19.0,17.0,38.0,20.0,1019.1,1016.1,1.0,1.0,26.3,34.1,No,No
2012-02-24,17.1,31.7,0.0,,,ENE,24.0,SE,NNW,2.0,4.0,78.0,33.0,,,,,22.6,31.1,No,No
2008-12-28,10.9,29.5,0.0,7.2,,W,46.0,WNW,WNW,15.0,30.0,49.0,25.0,1004.8,1002.7,1.0,2.0,19.8,27.8,No,No
2013-03-16,23.4,37.4,1.0,9.0,,SE,63.0,WNW,S,11.0,9.0,68.0,,1012.1,1008.1,0.0,2.0,29.0,36.1,No,Yes
2011-06-19,10.7,15.9,0.2,1.4,2.2,NNW,54.0,N,N,13.0,20.0,82.0,69.0,1013.7,1009.7,7.0,6.0,11.7,14.6,No,No
2012-10-30,14.2,19.3,1.4,6.6,6.6,SSE,39.0,SSE,SSE,22.0,24.0,75.0,66.0,1016.7,1015.8,7.0,7.0,17.1,17.4,Yes,No
2011-11-04,7.3,24.0,0.0,1.4,11.6,NE,22.0,E,NNE,13.0,13.0,69.0,33.0,1020.5,1016.6,2.0,1.0,14.4,23.0,No,No
2015-08-16,10.7,20.2,0.0,,,NNE,37.0,W,NE,11.0,20.0,81.0,70.0,1027.3,1021.7,,,14.4,18.0,No,No
2014-04-26,10.1,20.9,0.0,2.4,,WSW,41.0,NW,SSW,11.0,20.0,62.0,64.0,1013.3,1014.2,,3.0,17.0,16.5,No,No
2011-10-10,7.8,23.4,0.0,,,SSE,31.0,E,NE,11.0,13.0,60.0,27.0,,,,,14.6,23.1,No,No
2013-06-16,7.0,12.5,4.6,1.2,2.1,SSW,39.0,W,SW,11.0,19.0,90.0,86.0,1020.6,1017.9,4.0,5.0,8.9,10.7,Yes,Yes
2009-04-02,19.7,24.0,29.8,,,NE,46.0,NNE,E,17.0,19.0,93.0,85.0,1022.6,1021.2,,,20.6,23.0,Yes,Yes
2014-10-08,7.4,17.7,0.2,,,W,52.0,W,WSW,24.0,31.0,73.0,55.0,1019.7,1019.4,1.0,6.0,12.8,16.6,No,No
2012-07-04,4.8,10.9,0.0,,,S,30.0,S,S,9.0,17.0,80.0,66.0,1030.9,1031.2,0.0,8.0,6.1,9.4,No,No
2014-11-16,12.8,19.0,22.2,,,WNW,50.0,WNW,W,17.0,26.0,90.0,57.0,1001.9,1004.1,,,12.8,16.8,Yes,No
2011-05-16,2.8,20.5,0.0,3.4,10.0,WNW,31.0,WNW,NNW,24.0,13.0,50.0,34.0,1030.4,1025.9,0.0,0.0,10.5,19.8,No,No
2016-11-17,8.2,22.5,5.0,3.8,13.2,WNW,43.0,S,SW,13.0,28.0,40.0,38.0,1022.8,1020.8,1.0,0.0,17.1,21.2,Yes,No
2011-02-18,21.8,32.9,0.0,12.6,2.4,WSW,63.0,WNW,NNW,7.0,33.0,54.0,49.0,1007.3,1003.2,6.0,4.0,26.6,30.8,No,Yes
2012-01-09,12.7,24.6,3.8,,,W,43.0,WNW,W,20.0,28.0,56.0,33.0,1010.1,1009.4,,,16.5,23.3,Yes,No
2014-12-05,10.5,20.3,0.0,,,SSE,30.0,SE,S,15.0,17.0,70.0,60.0,1019.5,1016.2,,,15.0,18.9,No,No
2014-06-27,11.5,17.1,0.0,1.8,,NW,72.0,N,NNW,24.0,26.0,56.0,49.0,1008.1,1001.2,,,13.2,15.9,No,Yes
2013-12-10,9.3,19.8,0.0,,,SSE,35.0,SSE,SSE,13.0,19.0,63.0,61.0,1022.3,1020.4,,,17.5,18.2,No,No
2009-05-17,7.8,18.6,0.0,,,SSW,48.0,S,SW,4.0,13.0,43.0,31.0,1011.8,1015.4,,,15.4,17.6,No,No
2015-07-01,14.0,22.2,0.0,,,NE,19.0,W,E,7.0,13.0,99.0,63.0,1024.1,1020.5,,,17.9,20.5,No,No
2010-03-21,14.8,24.5,0.0,5.4,,SW,46.0,WNW,WSW,7.0,31.0,62.0,33.0,1020.3,1020.2,4.0,5.0,17.1,22.3,No,No
2009-02-19,,,,8.6,12.1,,,,,,,,,,,,,,,No,No
2016-02-29,11.1,27.0,0.0,3.0,9.1,ESE,33.0,SE,E,15.0,15.0,82.0,38.0,1023.1,1019.5,7.0,6.0,15.9,24.4,No,No
2010-12-16,19.6,26.1,0.2,,,SSW,69.0,N,SSW,11.0,13.0,88.0,92.0,1004.0,1003.2,,,22.2,21.0,No,Yes
2009-03-14,13.8,22.3,0.0,3.8,3.5,W,67.0,NNW,NW,17.0,13.0,78.0,78.0,1007.1,1002.5,6.0,8.0,16.8,16.9,No,Yes
2015-03-26,17.9,29.2,0.0,5.8,10.4,WSW,39.0,WNW,WNW,22.0,17.0,65.0,26.0,1017.7,1015.1,1.0,1.0,20.7,27.4,No,No
2014-10-06,8.8,15.5,4.8,,,WNW,28.0,SW,WNW,11.0,15.0,59.0,50.0,1022.9,1022.3,,,13.3,14.4,Yes,No
2013-11-05,4.2,26.0,0.0,5.6,12.4,NW,20.0,NE,N,7.0,9.0,74.0,23.0,1028.2,1023.3,1.0,1.0,11.9,24.2,No,No
2010-02-03,21.9,28.7,7.2,,,E,43.0,ESE,ESE,30.0,20.0,79.0,65.0,1010.0,1008.7,,,25.1,28.1,Yes,Yes
2015-03-06,12.4,30.7,0.0,,,N,48.0,NNW,NNW,13.0,19.0,52.0,23.0,1007.8,1003.9,,,19.1,29.2,No,No
2009-05-08,13.8,18.9,0.0,,,SSE,43.0,SW,SSE,24.0,31.0,61.0,62.0,1028.0,1025.6,,1.0,16.2,18.0,No,No
2009-01-09,,,,5.2,9.9,,,,,,,,,,,,,,,No,No
2017-04-01,8.6,27.3,0.0,,,ESE,44.0,ESE,ESE,22.0,28.0,23.0,12.0,1019.3,1016.2,,,19.0,25.9,No,No
2014-08-16,11.6,16.7,1.0,,,NE,39.0,SW,S,7.0,15.0,91.0,87.0,1023.0,1018.6,,,13.6,16.0,No,Yes
2009-04-15,14.8,33.9,0.0,8.6,10.5,ESE,33.0,,ESE,0.0,7.0,30.0,15.0,1015.0,1010.8,2.0,1.0,25.8,33.4,No,No
2014-10-28,6.3,23.3,0.0,,,SSE,33.0,SSE,S,13.0,20.0,70.0,53.0,1019.4,1015.9,,,15.9,20.7,No,No
2016-06-20,10.0,16.6,14.4,,,SSE,35.0,W,WSW,7.0,22.0,90.0,83.0,1000.1,998.4,8.0,8.0,11.9,13.9,Yes,Yes
2014-04-08,5.2,13.6,0.0,,,NE,26.0,NNE,NW,7.0,6.0,98.0,84.0,,,,,6.5,13.4,No,No
2012-08-28,10.0,15.5,0.4,,,NNW,37.0,NNW,NNW,13.0,19.0,89.0,69.0,1017.6,1015.5,,,11.7,13.8,No,Yes
2014-11-02,10.5,23.9,,,,WSW,43.0,SW,SSE,17.0,30.0,21.0,25.0,1018.0,1017.8,,,19.2,21.3,No,No
2009-11-21,18.6,23.1,3.0,,0.3,SE,43.0,E,W,6.0,9.0,81.0,75.0,1008.7,1006.9,,,19.5,21.7,Yes,Yes
2013-12-01,13.0,26.0,,,11.2,WSW,39.0,SW,SW,9.0,22.0,62.0,46.0,1015.1,1014.4,4.0,8.0,20.7,24.5,No,No
2010-12-07,20.9,26.5,48.6,,,SE,41.0,SSE,SE,20.0,35.0,93.0,93.0,1014.1,1012.9,,,23.6,22.6,Yes,Yes
2012-05-16,8.5,19.6,0.0,,,NW,24.0,,SE,0.0,9.0,86.0,82.0,1020.2,1017.4,,,13.1,16.9,No,Yes
2009-09-16,7.1,28.2,0.0,5.2,11.5,E,26.0,E,NW,15.0,9.0,20.0,6.0,1019.6,1015.5,0.0,0.0,18.5,27.8,No,No
2010-10-09,10.2,31.5,,,11.2,WNW,44.0,N,W,19.0,28.0,18.0,31.0,1009.9,1007.6,,,27.0,27.1,No,No
2015-12-20,19.0,22.5,0.0,13.8,6.7,W,61.0,WSW,W,31.0,43.0,73.0,47.0,1005.0,1008.5,8.0,5.0,19.2,20.2,No,No
2013-06-27,7.6,19.4,3.8,,,W,35.0,N,WNW,9.0,13.0,99.0,66.0,1020.4,1020.1,,,12.8,19.0,Yes,No
2009-10-17,4.6,19.2,0.0,,,WSW,28.0,SE,W,6.0,13.0,83.0,46.0,1022.7,1021.6,,1.0,10.9,18.8,No,No
2012-03-16,20.0,24.4,0.0,,,NNE,41.0,ENE,NNE,9.0,19.0,84.0,82.0,1012.7,1009.0,,,21.9,23.2,No,Yes
2011-06-24,19.1,25.8,0.0,6.6,8.6,SSE,48.0,SSE,SE,31.0,35.0,60.0,47.0,1017.9,1016.2,6.0,4.0,21.7,24.7,No,No
2011-12-20,16.9,21.8,13.6,,,S,46.0,SSW,S,24.0,33.0,80.0,78.0,1012.8,1014.3,,,20.5,21.4,Yes,No
2009-03-08,14.5,33.2,0.0,10.6,11.8,SSW,33.0,SSW,SE,9.0,15.0,24.0,13.0,1010.6,1006.8,0.0,1.0,25.0,32.7,No,No
2011-06-15,3.7,16.6,0.0,1.2,7.8,NW,24.0,ESE,NW,6.0,11.0,82.0,46.0,1028.0,1024.2,,,8.4,16.1,No,No
2016-05-14,14.7,26.9,0.0,4.0,9.6,ENE,19.0,SW,NE,6.0,6.0,71.0,47.0,1023.9,1020.8,1.0,1.0,20.0,25.8,No,No
2010-11-04,10.7,18.7,0.0,2.0,10.5,SE,35.0,SSE,ESE,15.0,17.0,48.0,33.0,1026.5,1023.0,,,13.2,17.5,No,No
2017-05-22,16.3,25.9,0.2,2.8,9.7,E,19.0,SW,ESE,6.0,9.0,92.0,61.0,1022.5,1019.2,1.0,2.0,18.4,24.5,No,No
2008-05-24,1.2,14.5,0.0,1.2,8.9,SE,17.0,SE,SSW,6.0,6.0,74.0,43.0,1026.7,1023.5,0.0,1.0,6.5,13.9,No,No
2013-05-10,5.8,23.6,0.0,,,WSW,13.0,SW,SE,4.0,4.0,100.0,47.0,1031.0,1028.3,,,13.0,22.6,No,No
2010-06-07,-2.6,5.4,0.0,,,,,ESE,N,13.0,9.0,70.0,63.0,,,,,0.6,3.8,No,No
2013-11-09,4.1,19.0,0.2,,,S,52.0,SSW,SSW,26.0,28.0,63.0,32.0,1018.7,1018.5,,,11.0,16.6,No,No
2008-12-28,23.3,34.0,0.2,5.2,1.8,NNE,46.0,,SE,0.0,19.0,71.0,37.0,1007.3,1003.8,7.0,7.0,25.9,33.3,No,Yes
2016-12-30,22.2,35.1,,,,WSW,52.0,N,NW,7.0,24.0,84.0,47.0,1003.3,999.6,7.0,1.0,24.7,33.2,No,No
2013-08-28,6.4,22.4,0.0,3.8,,S,37.0,WNW,S,19.0,28.0,60.0,37.0,1021.5,1020.1,1.0,,15.6,20.9,No,No
2016-07-09,10.8,33.4,0.0,4.0,,ESE,41.0,ESE,E,15.0,19.0,64.0,,1015.9,1011.7,1.0,,20.0,,No,No
2015-06-10,20.4,26.3,5.4,4.8,3.8,SE,56.0,SSE,SE,22.0,31.0,93.0,77.0,1017.1,1014.6,8.0,7.0,21.7,24.2,Yes,Yes
2013-07-16,8.0,17.0,0.0,1.4,4.9,NNW,30.0,,NNE,0.0,13.0,100.0,61.0,1023.0,1021.0,2.0,7.0,9.1,16.5,No,No
2017-01-04,20.1,25.9,1.2,7.8,5.6,ESE,31.0,ESE,ESE,22.0,22.0,53.0,45.0,1021.4,1020.0,7.0,7.0,24.0,23.7,Yes,Yes
2010-12-09,22.2,35.3,0.0,8.8,4.5,WNW,41.0,N,WNW,13.0,26.0,67.0,43.0,1012.5,1009.5,6.0,1.0,26.5,33.0,No,Yes
2013-11-11,5.7,17.7,0.0,5.8,5.3,SE,52.0,SE,ESE,17.0,33.0,59.0,49.0,1023.9,1021.3,3.0,7.0,13.3,16.8,No,No
2011-03-23,13.9,26.1,0.0,,,S,43.0,S,S,19.0,26.0,61.0,53.0,,,,,22.2,23.7,No,No
2016-01-07,28.2,33.3,0.0,8.2,9.8,WNW,35.0,WNW,WNW,17.0,26.0,73.0,62.0,1012.3,1010.2,4.0,4.0,30.2,32.5,No,No
2010-05-03,16.6,24.6,0.0,,,SSE,31.0,SW,E,9.0,9.0,79.0,60.0,1027.1,1024.2,,,19.4,22.8,No,No
2014-12-05,12.4,24.4,0.0,8.6,10.6,SW,41.0,SW,W,17.0,20.0,66.0,37.0,1011.7,1009.8,6.0,,17.4,23.6,No,No
2009-06-30,18.9,28.3,0.0,4.6,6.2,NNE,24.0,SE,NE,11.0,17.0,74.0,58.0,1016.7,1013.8,7.0,2.0,24.2,28.0,No,No
2015-04-11,15.6,21.1,7.4,1.8,4.6,WSW,30.0,WNW,ESE,13.0,15.0,92.0,69.0,1023.3,1019.5,7.0,5.0,17.9,20.3,Yes,No
2014-03-08,19.4,28.5,0.0,,,,,NE,SE,9.0,19.0,73.0,53.0,,,2.0,3.0,23.2,27.5,No,No
2016-10-25,6.2,17.9,1.6,,,W,35.0,W,W,15.0,19.0,75.0,71.0,1015.3,1015.7,,,15.8,16.0,Yes,Yes
2011-05-21,9.5,20.3,0.0,3.6,7.1,N,39.0,N,N,19.0,17.0,57.0,54.0,1015.6,1012.7,6.0,6.0,13.3,19.3,No,No
2011-08-10,6.7,17.3,,,,W,50.0,WNW,WNW,35.0,30.0,60.0,34.0,1008.5,1005.8,,1.0,11.5,16.5,No,No
2016-10-13,9.3,24.9,0.0,7.0,11.7,W,44.0,NNW,WSW,4.0,19.0,56.0,56.0,1011.9,1010.6,3.0,2.0,20.8,22.8,No,No
2014-07-21,9.4,18.5,0.0,0.8,8.4,,,S,NNW,7.0,9.0,81.0,57.0,1015.2,1011.3,1.0,6.0,12.8,17.2,No,No
2012-03-04,14.4,20.8,16.6,1.2,8.6,WNW,59.0,NW,WNW,20.0,39.0,91.0,69.0,1008.1,1009.3,7.0,3.0,16.1,19.0,Yes,Yes
2009-09-05,11.6,20.7,8.2,4.8,,WNW,67.0,SW,SE,15.0,19.0,57.0,37.0,1015.5,1014.8,2.0,,16.8,18.8,Yes,No
2014-08-23,2.9,19.8,0.0,,,NE,22.0,ESE,E,4.0,11.0,74.0,51.0,1031.5,1027.4,,,9.9,18.3,No,No
2011-11-26,12.7,25.6,43.4,4.4,6.7,NW,65.0,N,NW,13.0,39.0,93.0,34.0,1008.3,1004.0,8.0,4.0,16.1,23.8,Yes,Yes
2014-09-20,0.5,18.0,0.0,,,SSW,30.0,S,SW,19.0,6.0,58.0,36.0,1025.0,1022.3,,,10.0,17.5,No,No
2012-07-29,14.7,18.4,11.0,3.4,8.9,W,69.0,W,W,33.0,37.0,66.0,58.0,1007.6,1006.5,2.0,4.0,16.6,18.0,Yes,Yes
2010-06-17,5.8,15.0,0.0,1.4,0.0,WNW,35.0,WSW,N,6.0,11.0,98.0,96.0,1017.9,1014.5,7.0,7.0,9.5,13.1,No,Yes
2012-03-07,10.2,18.7,0.0,,,SE,63.0,ESE,SE,31.0,33.0,80.0,48.0,1026.6,1024.9,6.0,,12.2,17.4,No,No
2013-01-17,22.8,32.3,0.0,6.0,11.2,ENE,33.0,S,NE,13.0,22.0,64.0,57.0,1009.9,1007.2,6.0,7.0,29.0,30.5,No,No
2015-03-21,8.5,25.6,0.0,6.9,11.2,S,43.0,S,SE,11.0,20.0,59.0,21.0,1025.3,1022.1,0.0,0.0,12.5,23.3,No,No
2016-08-18,7.0,11.8,13.0,4.8,,,,WSW,,50.0,,79.0,,1015.8,1018.7,6.0,,9.8,,Yes,No
2011-01-07,15.6,29.8,0.0,9.8,7.3,ENE,43.0,ENE,ENE,15.0,15.0,54.0,29.0,1012.8,1010.2,7.0,7.0,23.0,28.6,No,No
2009-09-05,18.0,28.7,0.0,7.2,10.6,ENE,33.0,N,ENE,2.0,28.0,61.0,54.0,1016.2,1011.8,3.0,3.0,25.6,27.9,No,No
2010-07-15,8.7,19.0,1.8,,,N,48.0,N,NW,13.0,24.0,85.0,66.0,1020.3,1017.0,,,13.5,15.8,Yes,Yes
2015-05-14,8.9,18.1,1.6,,,WSW,37.0,W,W,17.0,17.0,45.0,40.0,1024.4,1024.3,,,13.1,17.5,Yes,No
2014-12-24,21.8,32.3,2.0,,,NE,41.0,ESE,ENE,24.0,22.0,33.0,30.0,1012.1,1009.1,8.0,,26.6,30.9,Yes,No
2013-05-22,4.3,15.6,0.0,,,WSW,19.0,SSE,SW,7.0,9.0,81.0,74.0,1015.0,1010.1,,,10.6,13.6,No,Yes
2014-08-05,10.9,21.8,0.4,3.4,9.6,ESE,24.0,SW,E,6.0,13.0,69.0,48.0,1031.3,1028.2,1.0,3.0,15.7,19.9,No,No
2017-03-11,14.5,33.5,,,,NW,31.0,ENE,WNW,15.0,15.0,47.0,16.0,1013.5,1009.3,,1.0,21.2,32.2,No,No
2016-03-21,14.9,21.5,2.8,11.9,,SE,39.0,S,SSE,9.0,9.0,85.0,80.0,1018.6,1016.9,7.0,8.0,17.4,18.7,Yes,No
2014-01-06,24.0,30.7,0.0,,,SW,61.0,N,NE,13.0,22.0,92.0,77.0,1007.8,1004.7,,,26.7,27.1,No,Yes
2014-12-11,20.2,22.3,16.0,,,S,46.0,,SSW,0.0,13.0,93.0,93.0,1006.0,1009.8,3.0,8.0,21.7,18.0,Yes,Yes
2011-05-12,5.0,19.2,0.0,4.6,9.8,SE,41.0,ESE,SSE,19.0,20.0,48.0,30.0,1024.9,1020.9,1.0,1.0,13.9,18.9,No,No
2017-06-03,-0.5,15.3,0.0,,,E,13.0,,E,0.0,9.0,90.0,50.0,1034.5,1031.0,,,4.6,14.2,No,No
2015-09-15,13.4,25.6,0.0,4.6,10.8,NE,24.0,WSW,NE,4.0,11.0,64.0,56.0,1023.2,1018.3,2.0,1.0,21.1,23.5,No,No
2009-10-11,9.8,,0.0,,,,,NW,SE,4.0,15.0,94.0,50.0,,,0.0,3.0,13.0,20.0,No,Yes
2015-06-05,1.3,12.4,0.0,0.4,7.4,NNW,61.0,NNW,NNW,26.0,22.0,80.0,55.0,1020.1,1018.3,1.0,7.0,4.0,10.9,No,No
2012-03-02,18.6,20.9,16.0,4.6,0.0,SSW,65.0,SSE,SE,17.0,20.0,88.0,83.0,1013.4,1015.4,,,19.5,19.4,Yes,Yes
2015-10-15,11.3,29.8,0.0,,,E,24.0,NW,NNE,2.0,11.0,100.0,39.0,,,,,16.9,28.7,No,No
2010-12-31,20.6,36.9,0.0,12.8,11.8,SSE,35.0,N,ESE,17.0,15.0,50.0,25.0,1015.7,1011.7,0.0,5.0,26.0,35.0,No,No
2012-09-11,7.4,25.3,0.0,5.4,,SW,22.0,E,SE,9.0,7.0,29.0,16.0,1023.9,1019.9,0.0,0.0,19.1,24.5,No,No
2011-11-19,16.5,31.8,13.2,,,,,,SE,0.0,4.0,95.0,60.0,,,8.0,1.0,19.0,29.7,Yes,No
2013-10-04,1.8,21.7,0.0,,,NW,35.0,N,WNW,11.0,20.0,74.0,36.0,1023.3,1017.7,,,10.9,21.0,No,No
2015-04-14,12.6,26.3,0.0,2.6,5.7,NW,41.0,NNE,N,13.0,24.0,75.0,35.0,1017.0,1012.5,8.0,7.0,16.0,25.5,No,No
